epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,num_pairs,tv_mean,tv_median,spearman_mean,spearman_median,unique_mean,unique_median,mono_viol_mean,mono_viol_median
1000,5e-05,0.01,0.01,0.5,0.1,0.01,200.0,4.4015,4.3254,-0.9218,-0.9455,7.285,8.0,0.59,0.0
1000,5e-05,0.01,0.01,0.5,0.1,0.1,200.0,4.5191,4.4502,-0.9749,-0.9818,8.86,9.0,0.24,0.0
1000,5e-05,0.01,0.01,0.5,0.1,0.2,200.0,4.4317,4.4199,-0.9824,-0.9909,9.21,9.0,0.2,0.0
1000,5e-05,0.01,0.01,1.0,0.0,0.0,200.0,4.5329,4.4583,-0.9123,-0.9273,7.085,7.0,0.675,0.0
1000,5e-05,0.01,0.01,1.0,0.0,0.01,200.0,4.3469,4.3097,-0.9352,-0.9545,7.32,7.0,0.47,0.0
1000,5e-05,0.01,0.01,1.0,0.0,0.1,200.0,4.4288,4.3915,-0.9765,-0.9818,8.78,9.0,0.225,0.0
1000,5e-05,0.01,0.01,1.0,0.0,0.2,200.0,4.4451,4.4393,-0.9833,-0.9909,9.32,9.0,0.215,0.0
1000,5e-05,0.01,0.01,1.0,0.01,0.0,200.0,4.4523,4.4139,-0.9155,-0.9318,7.11,7.0,0.695,0.0
1000,5e-05,0.01,0.01,1.0,0.01,0.01,200.0,4.3773,4.2843,-0.931,-0.9545,7.39,7.0,0.63,0.0
1000,5e-05,0.01,0.01,1.0,0.01,0.1,200.0,4.4096,4.3754,-0.9768,-0.9818,8.91,9.0,0.175,0.0
1000,5e-05,0.01,0.01,1.0,0.01,0.2,200.0,4.4426,4.4174,-0.983,-0.9909,9.29,9.0,0.22,0.0
1000,5e-05,0.01,0.01,1.0,0.1,0.0,200.0,4.3847,4.3528,-0.9106,-0.9455,7.05,7.0,0.665,0.0
1000,5e-05,0.01,0.01,1.0,0.1,0.01,200.0,4.4476,4.4009,-0.931,-0.9545,7.68,8.0,0.55,0.0
1000,5e-05,0.01,0.01,1.0,0.1,0.1,200.0,4.3874,4.3915,-0.977,-0.9818,8.895,9.0,0.2,0.0
1000,5e-05,0.01,0.01,1.0,0.1,0.2,200.0,4.4527,4.4565,-0.9847,-0.9909,9.27,9.0,0.195,0.0
1000,5e-05,0.01,0.1,0.0,0.0,0.0,200.0,4.3712,4.3005,-0.9035,-0.9273,6.94,7.0,0.72,0.0
1000,5e-05,0.01,0.1,0.0,0.0,0.01,200.0,4.5293,4.4896,-0.9092,-0.9409,7.26,7.0,0.785,1.0
1000,5e-05,0.01,0.1,0.0,0.0,0.1,200.0,4.4056,4.4019,-0.9779,-0.9864,9.015,9.0,0.29,0.0
